BY PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Goals Shots PN PIM 1 1 7 2 6 2 0 5 0 0 3 2 6 3 6 TOT 3 18 5 12 Per Goals Shots PN PIM 1 1 16 1 2 2 5 19 0 0 3 1 8 4 8 TOT 7 43 5 10,Per Goals Shots PN PIM 1 1 7 2 6 2 0 5 0 0 3 2 6 3 6 TOT 3 18 5 12,Per,Goals,Shots,PN,PIM,1,1,7,2,6,2,0,5,0,0,3,2,6,3,6,TOT,3,18,5,12,Per Goals Shots PN PIM 1 1 16 1 2 2 5 19 0 0 3 1 8 4 8 TOT 7 43 5 10,Per,Goals,Shots,PN,PIM,1,1,16,1,2,2,5,19,0,0,3,1,8,4,8,TOT,7,43,5,10
Per Goals Shots PN PIM 1 1 7 2 6 2 0 5 0 0 3 2 6 3 6 TOT 3 18 5 12,Per,Goals,Shots,PN,PIM,1,1,7,2,6,2,0,5,0,0,3,2,6,3,6,TOT,3,18,5,12,Per Goals Shots PN PIM 1 1 16 1 2 2 5 19 0 0 3 1 8 4 8 TOT 7 43 5 10,Per,Goals,Shots,PN,PIM,1,1,16,1,2,2,5,19,0,0,3,1,8,4,8,TOT,7,43,5,10,
Per,Goals,Shots,PN,PIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOT,3,18,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per,Goals,Shots,PN,PIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,16,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOT,7,43,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
