PITTSBURGH PENGUINS,TOI,GOALS-SHOTS AGAINST,,,,,,,,
EV,PP,SH,TOT,1,2,3,TOT,,,
30,G,"BLOMQVIST, JOEL (L)",20:40,00:40,04:06,25:26,1-16,5-8,,6-24
31,G,"LARSSON, FILIP",33:16,01:18,00:00,34:34,,0-11,1-8,1-19
TEAM TOTALS,53:56,01:58,04:06,60:00,1-16,5-19,1-8,7-43,,
,,,,,,,,,,
BUFFALO SABRES,TOI,GOALS-SHOTS AGAINST,,,,,,,,
EV,PP,SH,TOT,1,2,3,TOT,,,
1,G,"LUUKKONEN, UKKO-PEKKA (W)",53:56,04:06,01:58,60:00,1-7,0-5,2-6,3-18
47,G,"REIMER, JAMES",,,,,,,,
TEAM TOTALS,53:56,04:06,01:58,60:00,1-7,0-5,2-6,3-18,,
